WO,WD,LO,LD,Score,Date,Color
atharva,andy,alex,pietro,9,5/19/2022,
lucy,andy,alex,sophie,7,5/23/2022,
andy,lucy,sophie,alex,7,5/23/2022,
alex,andy,paul,sophie,2,5/24/2022,
andy,sophie,alex,lawler,3,5/26/2022,
sophie,andy,lawler,alex,5,5/26/2022,
paul,andy,max,pietro,9,5/27/2022,
alex,andy,eric,sophie,4,6/1/2022,
sophie,andy,alex,andonian,4,6/1/2022,
andonian,alex,andy,sophie,6,6/1/2022,
sophie,andy,andonian,alex,1,6/1/2022,
atharva,andy,eric,alex,4,6/2/2022,
andy,atharva,alex,eric,4,6/2/2022,
max,pratik,andy,obed,6,6/6/2022,
obed,andy,pratik,max,7,6/6/2022,
alex,andy,max,pietro,8,6/7/2022,
andy,lawler,alex,lucy,2,6/21/2022,
lawler,andy,lucy,alex,5,6/21/2022,
alex,lawler,max,jake,6,6/21/2022,
lawler,alex,jake,max,3,6/21/2022,
alex,lawler,andy,jake,4,6/21/2022,
jake,andy,lawler,alex,5,6/21/2022,
jake,andy,alex,lawler,5,6/21/2022,
lucy,andy,alex,max,1,6/23/2022,
max,alex,andy,lucy,5,6/23/2022,
lucy,andy,max,alex,7,6/23/2022,
lucy,andy,alex,fabio,1,6/27/2022,b
fabio,alex,andy,lucy,9,6/27/2022,r
lucy,andy,fabio,alex,2,6/27/2022,b
alex,andy,max,fabio,3,6/27/2022,r
andy,alex,fabio,max,2,6/27/2022,r
alex,max,andy,lucy,9,6/27/2022,b
max,alex,lucy,andy,2,6/27/2022,b
alex,andy,paul,max,8,6/28/2022,r
alex,andy,lucy,max,2,6/28/2022,r
andy,alex,max,lucy,9,6/28/2022,r
lucy,andy,alex,max,2,6/29/2022,b
andy,lucy,max,alex,5,6/29/2022,b
alex,andy,max,pratik,2,7/6/2022,b
pratik,max,andy,alex,9,7/6/2022,r
alex,andy,pratik,max,1,7/6/2022,b
stefano,max,lucy,alex,2,7/6/2022,r
max,stefano,alex,lucy,4,7/6/2022,r
alex,stefano,max,lucy,9,7/6/2022,r
stefano,alex,lucy,max,8,7/6/2022,r
pratik,alex,fabio,lawler,5,7/7/2022,b
alex,pratik,lawler,fabio,3,7/7/2022,b
max,andy,pratik,alex,3,7/7/2022,r
andy,max,alex,pratik,6,7/7/2022,r
andy,sophie,alex,pratik,7,7/7/2022,r
sophie,andy,pratik,alex,1,7/7/2022,r
pratik,andy,fabio,lucy,4,7/8/2022,b
andy,pratik,lucy,fabio,2,7/8/2022,b
fabio,andy,pratik,lucy,3,7/8/2022,b
andy,fabio,lucy,pratik,6,7/8/2022,b
lucy,sophie,alex,pratik,7,7/11/2022,b
pratik,alex,sophie,lucy,4,7/11/2022,r
pratik,alex,lucy,sophie,6,7/11/2022,r
fabio,andy,sophie,max,3,7/11/2022,b
andy,fabio,max,sophie,5,7/11/2022,b
alex,andy,pratik,max,9,7/12/2022,r
andy,alex,max,pratik,5,7/12/2022,r
andy,lucy,alex,max,8,7/12/2022,r
lucy,andy,max,alex,9,7/12/2022,r
sophie,max,andy,lucy,6,7/13/2022,b
lucy,andy,max,sophie,8,7/13/2022,r
lucy,andy,sophie,max,9,7/13/2022,r
andy,sophie,alex,lawler,6,7/13/2022,r
sophie,andy,lawler,alex,3,7/13/2022,r
alex,pratik,lawler,fabio,3,7/13/2022,b
fabio,lawler,pratik,alex,8,7/13/2022,r
fabio,lawler,alex,pratik,4,7/13/2022,r
paul,andy,lucy,alex,1,7/14/2022,r
david,andy,max,alex,3,7/14/2022,b
andy,david,alex,max,9,7/14/2022,b
yunbo,andy,fabio,pratik,7,7/14/2022,r
andy,yunbo,pratik,fabio,6,7/14/2022,r
alex,max,andy,lucy,9,7/15/2022,r
lucy,andy,max,alex,2,7/15/2022,b
lucy,andy,alex,max,4,7/15/2022,b
fabio,lawler,yunbo,pratik,3,7/18/2022,b
lawler,fabio,pratik,yunbo,7,7/18/2022,b
andy,pratik,lawler,fabio,3,7/18/2022,r
pratik,andy,fabio,lawler,7,7/18/2022,r
alex,sophie,lucy,max,5,7/19/2022,r
sophie,alex,max,lucy,3,7/19/2022,r
sophie,pratik,andy,alex,9,7/19/2022,b
alex,andy,pratik,sophie,2,7/19/2022,r
alex,andy,sophie,pratik,2,7/19/2022,r
andy,sophie,max,pratik,9,7/20/2022,b
sophie,andy,pratik,max,3,7/20/2022,b
andonian,andy,alex,max,6,7/21/2022,r
andy,andonian,max,alex,9,7/21/2022,r
pratik,max,andy,lucy,9,7/21/2022,b
max,pratik,lucy,andy,2,7/21/2022,b
alex,andy,max,pratik,4,7/22/2022,b
andy,alex,pratik,max,5,7/22/2022,b
andy,lawler,fabio,pratik,7,7/22/2022,r
lawler,andy,pratik,fabio,2,7/22/2022,r
andy,max,eric,david,1,7/25/2022,r
max,andy,david,eric,3,7/25/2022,r
eric,lawler,lucy,max,2,7/25/2022,b
max,lucy,lawler,eric,8,7/25/2022,r
eric,lawler,max,lucy,3,7/25/2022,b
paul,andy,eric,andonian,5,7/25/2022,r
andonian,eric,andy,paul,8,7/25/2022,b
paul,andy,andonian,eric,3,7/25/2022,r
sophie,andy,max,pratik,4,7/26/2022,b
andy,sophie,pratik,max,2,7/26/2022,b
max,pietro,andy,sophie,7,7/26/2022,r
lucy,andy,eric,pratik,5,7/26/2022,r
pratik,eric,andy,lucy,4,7/26/2022,b
lucy,andy,pratik,eric,4,7/26/2022,r
andonian,pietro,alex,eric,7,7/27/2022,r
yunbo,andy,pratik,max,6,7/27/2022,r
max,pratik,andy,yunbo,9,7/27/2022,b
yunbo,andy,max,pratik,5,7/27/2022,r
eric,alex,andonian,lucy,1,7/27/2022,b
alex,eric,lucy,andonian,5,7/27/2022,b
andonian,andy,pratik,eric,3,7/27/2022,r
andy,andonian,eric,pratik,7,7/27/2022,r
pratik,andy,sophie,eric,7,7/28/2022,r
andy,pratik,eric,sophie,3,7/28/2022,r
andonian,pietro,eric,max,7,7/28/2022,r
